Variable...Field.Name,Form.Name,Section.Header,Field.Type,Field.Label,Choices..Calculations..OR.Slider.Labels,Field.Note,Text.Validation.Type.OR.Show.Slider.Number,Text.Validation.Min,Text.Validation.Max,Identifier.,Branching.Logic..Show.field.only.if....,Required.Field.,Custom.Alignment,Question.Number..surveys.only.,Matrix.Group.Name,Matrix.Ranking.,Field.Annotation
ipaq_daily_moderate,physical_activity_international_physical_activity,,text,2a. How much time did you usually spend doing moderate physical activities on one of those days? (In hours and minutes per day),,,number,,,,[ipaq_moderate] = '2' or [ipaq_moderate] = '3' or [ipaq_moderate] = '4' or [ipaq_moderate] = '5' or [ipaq_moderate] = '6' or [ipaq_moderate] = '7' or [ipaq_moderate] = '8',y,,,,,
ipaq_walked,physical_activity_international_physical_activity,"Think about the time you spent walking in the last 7 days. This includes at work and at 
home, walking to travel from place to place, and any other walking that you have done
solely for recreation, sport, exercise, or leisure.",radio,"3. During the last 7 days, on how many days did you walk for at least 10 minutes 
At a time? (In days per week)
","1, 0 | 2, 1 | 3, 2 | 4, 3 | 5, 4 | 6, 5 | 7, 6 | 8, 7",,,,,,,y,,,,,
ipaq_daily_walked,physical_activity_international_physical_activity,,text,3a. How much time did you usually spend walking on one of those days? (In hours and minutes per day),,,number,,,,[ipaq_walked] = '2' or [ipaq_walked] = '3' or [ipaq_walked] = '4' or [ipaq_walked] = '5' or [ipaq_walked] = '6' or [ipaq_walked] = '7' or [ipaq_walked] = '8',y,,,,,
ipaq_sitting,physical_activity_international_physical_activity,"The last question is about the time you spent sitting on weekdays during the last 7 days. Include time spent at work, at home, while doing course work and during leisure time. This may include time spent sitting at a desk, visiting friends, reading, or sitting or lying down to watch television.",text,"4. During the last 7 days, how much time did you spend sitting on each weekday?",,,number,,,,,y,,,,,
ipaq_comments,physical_activity_international_physical_activity,,notes,Comments:,,,,,,,,,,,,,
hooper_instructions,sleep_quality_and_wellbeing_hooper_index_7point_li,,descriptive,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;"">tell the participant:</span></h6> <h6>- here you will complete the sleep quality and well-being assessment also referred to as the hooper index questionnaire. This questionnaire is used to monitor an individuals physical and mental well-being by asking questions pertaining to your fatigue, stress, recovery, sleep quality and overall well-being.</h6></div>",,,,,,,,,,,,,
hooper_date,sleep_quality_and_wellbeing_hooper_index_7point_li,,text,Date sleep quality and well-being (hooper index 7-point likert scale) performed,,,date_dmy,,,,,y,,,,,
hooper_time,sleep_quality_and_wellbeing_hooper_index_7point_li,,text,Time sleep quality and well-being (hooper index 7-point likert scale) performed,,,time,,,,,y,,,,,
hooper_fatigue,sleep_quality_and_wellbeing_hooper_index_7point_li,,radio,1. How fatigued are you?,"1, 1=No Fatigue | 2, 2=Minimal Fatigue | 3, 3=Better Than Normal | 4, 4=Normal | 5, 5=Worse Than Normal | 6, 6=Very Fatigued | 7, 7=Exhausted - Major Fatigue",,,,,,,y,,,,,
hooper_sleep_quality,sleep_quality_and_wellbeing_hooper_index_7point_li,,radio,2. How was your sleep last night?,"1, 1=Outstanding | 2, 2=Very Good | 3, 3=Better Than Normal | 4, 4=Normal | 5, 5=Worse Than Normal | 6, 6=Disrupted | 7, 7=Horrible - No Sleep",,,,,,,y,,,,,
hooper_sleep_duration,sleep_quality_and_wellbeing_hooper_index_7point_li,,radio,3. How many hours did you sleep last night?,"1, 10+ | 2, 9-10 | 3, 8-9 | 4, 8 | 5, 7-8 | 6, 5-7 | 7, 5 or Less",,,,,,,y,,,,,
hooper_soreness,sleep_quality_and_wellbeing_hooper_index_7point_li,,radio,4. Please rate your level of muscle soreness,"1, 1=No Soreness | 2, 2=Very Little Soreness | 3, 3=Better Than Normal | 4, 4=Normal | 5, 5=Worse Than Normal | 6, 6=Very Sore/Tight | 7, 7=Extremely Sore/Tight",,,,,,,y,,,,,
hooper_mental,sleep_quality_and_wellbeing_hooper_index_7point_li,,radio,5. How are you feeling psychologically (mentally)? ,"1, 1=Feeling Great - Very Relaxed | 2, 2=Feeling Good - Relaxed | 3, 3=Better Than Normal | 4, 4=Normal | 5, 5=Worse Than Normal | 6, 6=Stressed | 7, 7=Very Stressed",,,,,,,y,,,,,
hooper_score,sleep_quality_and_wellbeing_hooper_index_7point_li,,calc,6. Hooper index score,[hooper_fatigue]+[hooper_sleep_quality] + [hooper_sleep_duration]+[hooper_soreness]+ [hooper_mental],,,,,,,y,,,,,"The scores for all questions are summed to calculate a total Hooper Index. A lower Hooper Index score indicates better overall well-being and readiness. Higher scores suggest the individual may be experiencing higher levels of fatigue, stress, and/or muscle soreness, potentially impacting their performance and recovery. "
hooper_comments,sleep_quality_and_wellbeing_hooper_index_7point_li,,notes,Comments:,,,,,,,,,,,,,
asa24_diet_instructions,h_diet_recall_asa24_healthy_eating_index_1100_scal,,descriptive,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;"">tell the participant</span></h6> <h6>-here we will complete the 24hr diet recall. During this assessment you will provide information on your food and beverage intake over the last 24hrs so that we can assess your dietary patterns. You will be asked specific questions about what you ate and drank during breakfast, lunch and dinner even any supplements you might have taken.</h6> <h6>-you will also be asked how the meals were prepared, the ingredients in the food, the time the meal was consumed, where the meal was consumed etc. Try to be as specific and as detailed as posible and i want you to remember that there are no right or wrong answers here.</h6></div>",,,,,,,,,,,,,
asa24_diet_date,h_diet_recall_asa24_healthy_eating_index_1100_scal,,text,Date 24h diet recall (asa24: healthy eating index 1-100 scale) completed,,,date_dmy,,,,,y,,,,,
asa24_diet_time,h_diet_recall_asa24_healthy_eating_index_1100_scal,,text,Time 24h diet recall (asa24: healthy eating index 1-100 scale) completed?,,,time,,,,,y,,,,,
asa24_profile,h_diet_recall_asa24_healthy_eating_index_1100_scal,,yesno,1. Was participants 24h diet recall (asa24: healthy eating index 1-100 scale) nutrtion profile printed?,,,,,,,,y,,,,,
asa24_upload,h_diet_recall_asa24_healthy_eating_index_1100_scal,,file,,,,,,,,,,,,,,
asa24_comments,h_diet_recall_asa24_healthy_eating_index_1100_scal,,notes,,,,,,,,,,,,,,
tlfb_alc_instructions,alcohol_timeline_follow_back_interview_tlfb,,descriptive,"<div class=""rich-text-field-label""><p>introduction</p> <p><em>tell the participant:</em></p> <ul> <li><span style=""font-weight: normal;"">what want to do today is get an idea of what your drinking was like recently, and </span><span style=""font-weight: normal;"">to do this, we use a calendar like this one (show sample calendar).</span></li> <li><span style=""font-weight: normal;"">now, what i would like to do is to ask you about your drinking over the past </span><span style=""font-weight: normal;"">30 days. During this time period we want to get an idea of how much alcohol </span><span style=""font-weight: normal;"">you consumed on each day, and what type of alcohol it was. We'll assist you by using a calendar and asking questions to help you remember.</span></li> <li><span style=""font-weight: normal;"">we're asking for your <span style=""background-color: #fbeeb8;"">best estimate</span>. We want you to be as accurate as possible, but we recognize that it is not always easy to recall events with 100% accuracy, whether it is drinking or anything else.  </span></li> <li><span style=""font-weight: normal;"">if you are not sure whether you drank 7 or 11 drinks on a given day or whether you drank on a thursday or a friday, give it your best guess! What is important is that 7 or 11 drinks are very different from 1 or 2 drinks or from 25 drinks. The goal is to get a sense of how frequently you drank, how much you drank, and your patterns of drinking.</span></li> <li><span style=""font-weight: normal;"">we'll need to know the<span style=""background-color: #fbeeb8;""> quantity, type, and brand (if you know) of alcohol you consumed. You can also tell us which restaurant you ordered from if applicable</span>. For example, if you had 2 glasses of wine, we'll ask how much wine (5 oz? 9 oz?) And as much detail as you remember about the type of wine. If you also had a beer, we'll need to know what kind (dos equis? Lubbock light from two docs?) And how much (12 oz standard can? 6 pack of 12-oz cans? A pint - 16 oz?)</span></li> <li><span style=""font-weight: normal;"">do you have any questions about this before we begin?</span></li> </ul> <p><em>after answering participant's question, begin filling out the calendar. Use the following questions as a guide:</em></p> <ul> <li><span style=""font-weight: normal;"">let's start with yesterday </span>(insert date)<span style=""font-weight: normal;""> and go back 30 days-those dates are </span>(insert date) <span style=""font-weight: normal;"">through </span>(insert date)<span style=""font-weight: normal;"">.</span></li> <li><span style=""font-weight: normal;"">do you have any special holidays or dates you want to mark on the calendar to help you better recall your drinking during this time frame? You can consult your phone or calendar if needed. </span><em>(participant replies and the interviewer enters the days in the calendar as appropriate)</em></li> <li><em>(begin with the first special date or holiday) </em><span style=""font-weight: normal;"">what drinks did you have on that day, and how much? </span><em>(participant replies, and interviewer writes in, asking follow-up questions as needed) (continue asking the following questions, with follow-ups as needed, and filling in info)</em></li> <li><span style=""font-weight: normal;"">what was the greatest amount of drinks you consumed on any given day during this period, and what date was it?</span></li> <li><span style=""font-weight: normal;"">what was the smallest number of standard drinks you consumed on any given day during this period, and what date was it?</span></li> <li><span style=""font-weight: normal;"">some people will have patterns to their drinking that can help them recall their use. For example, some people may drink 2 12-oz budweiser beers every night. Do you have any notable patterns to your drinking?</span></li> <li><span style=""font-weight: normal;"">when did you last drink in this time frame?</span> <span style=""font-weight: normal;"">what drinks did you have on that day, and how much? </span></li> <li><span style=""font-weight: normal;"">during this period, did you have any extended periods of abstinence from alcohol when you did not drink any alcohol at all, not even a drop? </span></li> <li><span style=""font-weight: normal;"">are there any blocks of time during this period when you have used alcohol in a very patterned manner for a period of time?</span></li> <li><em>continue working with the participant to fill in every day - even if it is ""0"".</em></li> </ul></div>",,,,,,,,,,,,,
tlfb_date_completed,alcohol_timeline_follow_back_interview_tlfb,,text,Date tlfb was completed,,,date_dmy,,,,,y,,,,,
tlfb_reference_chart,alcohol_timeline_follow_back_interview_tlfb,,yesno,2. Was the participant shown the standard drink conversion reference chart?,,,,,,,,y,,,,,
tlfb_reference_calendar,alcohol_timeline_follow_back_interview_tlfb,,yesno,3. Was the sample timeline follow back calendar for reference shown to participant?,,,,,,,,y,,,,,
tlfb_completion,alcohol_timeline_follow_back_interview_tlfb,,yesno,4. Was timeline follow back interview completed with crc/interviewer filling out the calendar?,,,,,,,,y,,,,,
tlfb_start_date,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb start date (31 days ago; mm-dd-yyyy),,,date_mdy,,,,,y,,,,,
tlfb_end_date,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb end date (yesterday; mm-dd-yyyy),,,date_mdy,,,,,y,,,,,
tlfb_day1,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 1 alcohol,,,,,,,,,,,,,
tlfb_day2,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 2 alcohol,,,,,,,,,,,,,
tlfb_day3,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 3 alcohol,,,,,,,,,,,,,
tlfb_day4,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 4 alcohol,,,,,,,,,,,,,
tlfb_day5,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 5 alcohol,,,,,,,,,,,,,
tlfb_day6,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 6 alcohol,,,,,,,,,,,,,
tlfb_day7,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 7 alcohol,,,,,,,,,,,,,
tlfb_day8,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 8 alcohol,,,,,,,,,,,,,
tlfb_day9,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 9 alcohol,,,,,,,,,,,,,
tlfb_day10,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 10 alcohol,,,,,,,,,,,,,
tlfb_day11,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 11 alcohol,,,,,,,,,,,,,
tlfb_day12,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 12 alcohol,,,,,,,,,,,,,
tlfb_day13,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 13 alcohol,,,,,,,,,,,,,
tlfb_day14,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 14 alcohol,,,,,,,,,,,,,
tlfb_day15,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 15 alcohol,,,,,,,,,,,,,
tlfb_day16,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 16 alcohol,,,,,,,,,,,,,
tlfb_day17,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 17 alcohol,,,,,,,,,,,,,
tlfb_day18,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 18 alcohol,,,,,,,,,,,,,
tlfb_day19,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 19 alcohol,,,,,,,,,,,,,
tlfb_day20,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 20 alcohol,,,,,,,,,,,,,
tlfb_day21,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 21 alcohol,,,,,,,,,,,,,
tlfb_day22,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 22 alcohol,,,,,,,,,,,,,
tlfb_day23,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 23 alcohol,,,,,,,,,,,,,
tlfb_day24,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 24 alcohol,,,,,,,,,,,,,
tlfb_day25,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 25 alcohol,,,,,,,,,,,,,
tlfb_day26,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 26 alcohol,,,,,,,,,,,,,
tlfb_day27,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 27 alcohol,,,,,,,,,,,,,
tlfb_day28,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 28 alcohol,,,,,,,,,,,,,
tlfb_day29,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 29 alcohol,,,,,,,,,,,,,
tlfb_day30,alcohol_timeline_follow_back_interview_tlfb,,text,Tlfb day 30 alcohol,,,,,,,,,,,,,
tlfb_completed,alcohol_timeline_follow_back_interview_tlfb,,yesno,Was timeline follow back interview completed with crc/interviewer filling out the calendar?,,,,,,,,y,,,,,
tlfb_calendar_upload,alcohol_timeline_follow_back_interview_tlfb,,file,Tlfb calendar upload,,,,,,,,y,,,,,
tug_instructions,meter_timed_up_and_go_test,,descriptive,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;"">tell the participant:</span><br />the 1st physical function test we will perform is the 3-meter timed up and go. This test allows us to evaluate your mobility, balance, walking ability and fall risk while walking 3 meters. What you will do is start by sitting in this chair with your feet behind the start line and when i give you the signal to go you will rise up from the chair, and begin walking at your normal pace to the other end, around the cone and back to the chair.<br /><br />i will be timing you to see how long it takes you to complete the test. The timer will begin once your back lifts from the back of the chair and the timer will end when you return to the chair and your back touches the back of the chair. You will perform this test 3 times and you will have a 60 second rest between each interval.<br /><br />i will give you a practice attempt to help you before we actually begin the test. One thing to keep in mind is whichever way you choose to turn around the cone whether clockwise or counter-clockwise, you must turn around the cone the same way each of the 3 times.</h6> <h6><span style=""text-decoration: underline;"">reminders</span></h6> <h6>*demonstration*</h6> <h6>*participant practice run*</h6></div>",,,,,,,,,,,,,
tug_date,meter_timed_up_and_go_test,,text,Date 3-meter timed up and go test performed,,,date_dmy,,,,,y,,,,,
tug_time,meter_timed_up_and_go_test,,text,Time 3-meter timed up and go test performed,,,time,,,,,y,,,,,
tug_setup,meter_timed_up_and_go_test,,text,"1. Was timed up and go appropriately set up (floor spaces properly measured and marked with tape, armed chair provided and placed against wall etc.)",,,,,,,,y,,,,,
tug_demonstration,meter_timed_up_and_go_test,,yesno,2. Was a demonstration performed for the participant?,,,,,,,,y,,,,,
tug_test_run,meter_timed_up_and_go_test,,yesno,3. Did participant elect to do a test run?,,,,,,,,y,,,,,
tug_cone_direction,meter_timed_up_and_go_test,,radio,4. In which direction did participant choose to walk around cone?,"1, Left | 2, Right",,,,,,,y,,,,,Participant Will Need To Walk Around Same Direction Of Cone Each Subsequent Time
tug_attempt_1,meter_timed_up_and_go_test,,text,5. Time of 1st tug attempt (in seconds),,,,,,,,y,,,,,
tug_rest_1,meter_timed_up_and_go_test,,yesno,6. Did participant rest for 30 seconds after 1st rep?,,,,,,,,y,,,,,
tug_attempt_2,meter_timed_up_and_go_test,,text,7. Time of 2nd tug attempt (in seconds),,,,,,,,y,,,,,
tug_rest_2,meter_timed_up_and_go_test,,yesno,8. Did participant rest for 30 seconds after 2nd rep?,,,,,,,,y,,,,,
tug_attempt_3,meter_timed_up_and_go_test,,text,9. Time of 3rd tug attempt (in seconds),,,,,,,,y,,,,,
tug_rest_3,meter_timed_up_and_go_test,,yesno,10. Did participant rest for 30 seconds after 3rd rep?,,,,,,,,y,,,,,
average_tug_time,meter_timed_up_and_go_test,"<div class=""rich-text-field-label""><p>INTERPRETATION <br /><br /><span style=""text-decoration: underline;""><</span> 10 Seconds = Normal <br /><span style=""text-decoration: underline;""><</span> 20 Seconds = Good Mobility, Can Go Out Alone, Mobile Without A<br />Gait Aid.<br /><span style=""text-decoration: underline;""><</span> 30 seconds = Problems, Cannot Go Outside Alone, Requires A Gait <br />Aid.</p> <p><br />A Score Of More Than Or Equal To Fourteen Seconds Has Been Shown To Indicate High Risk <br />Of Falls.</p></div>",calc,11. Average time of 3-meter timed up and go (in seconds),([tug_attempt_1] + [tug_attempt_2]+[tug_attempt_3])/3,,,,,,,y,,,,,
sts_instructions,second_sittostand_test,,descriptive,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;"">tell the participant:</span><br />the second physical function test we will perform is a <span style=""font-weight: normal;"">30 second sit-to-stand. This test measures your leg strength and endurance by evaluating how many times you can stand up from a chair and return to the seated position within 30 seconds.</span></h6> <h6>i'll be watching to see your form, your comfortability and the smoothness and ease in whch you perform this test</h6> <p> </p> <h6><span style=""text-decoration: underline;"">reminders:</span></h6> <h6><span style=""font-weight: normal;"">*demonstration*</span></h6> <h6><span style=""font-weight: normal;"">*participant practice run*</span></h6></div>",,,,,,,,,,,,,
sts_date_perfomed,second_sittostand_test,,text,Date 30 second sit-to-stand test performed,,,date_dmy,,,,,y,,,,,
sts_time_perfomed,second_sittostand_test,,text,Time 30 second sit-to-stand test performed,,,time,,,,,y,,,,,
sts_chair_position,second_sittostand_test,,yesno,1. Was chair positioned with the back against the wall?,,,,,,,,y,,,,,
sts_demonstration,second_sittostand_test,,yesno,2. Was a demonstration performed for the participant?,,,,,,,,y,,,,,
sts_test_trial,second_sittostand_test,,yesno,3. Did participant elect to do a test trial?,,,,,,,,y,,,,,
sts_reps,second_sittostand_test,"<div class=""rich-text-field-label""><p>INTERPRETATION </p> <p>                                    WOMEN</p> <p>Age group (years)                    Below Average; Average; Above Average</p> <p>60 - 64:                                          < 12; 12 - 17; >17<br />65 - 69:                                          < 11; 11 - 16; >16<br />70 - 74:                                          < 10; 10 - 15; >15<br />75 - 79:                                          < 10; 10 - 15; >15<br />80 - 84:                                          < 9; 9 - 14; >14<br />85 - 89:                                          < 8; 8 - 13; >13<br />90 - 94:                                          < 4; 4 - 11; >11</p> <p> </p> <p>                                   MEN</p> <p>Age group (years)                    Below Average; Average; Above Average</p> <p>60 - 64:                                          < 14; 14 - 19; >19<br />65 - 69:                                          < 12; 12 - 18; >18<br />70 - 74:                                          < 12; 12 - 17; >17<br />75 - 79:                                          < 11; 11 - 17; >17<br />80 - 84:                                          < 10; 10 - 15; >15<br />85 - 89:                                          < 8; 8 - 14; >14<br />90 - 94:                                          < 7; 7 - 12; >12</p> <p> </p></div>",text,4. Number of reps participant performed in 30 second sit-to-stand test ,,,,,,,,y,,,,,
grip_strength_instructions,handgrip_strength_test,,descriptive,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;""><span style=""color: #000000; font-weight: normal; text-decoration: underline;"">tell the participant:</span></span><br />the last physical function test you will perform is a handgrip strength test to evaluate your muscle strength. You will squeeze a dynamometer with each hand and this will give us an indicator of your overall muscle function and muscle health. So what i will have you do is first remove any rings, bracelets or watches from your hands and wrists.<br /><br /><span style=""text-decoration: underline;"">participant instructions:</span> <br />have the prticipant sit upright in this chair with their elbow flexed at 90 degrees and non-dominant arm resting on the armrest of the chair or held in place against the side of their body. Your wrist should remain in a neutral position (not bent up or down). Ensure the handgrip dynamometer is held with the arm relaxed, not supported by external surfaces, and the participant's hand comfortably fits around the dynamometer handle<br /><br /><span style=""text-decoration: underline;"">tell the participant:</span><br />when i hand you the dynamometer, using your dominant hand, hold the dynamometer with your hand relaxed and when i say go, squeeze the device with as much forces as you can but withought straining for 3-5 seconds. <br /><br /><span style=""text-decoration: underline;"">reminders:</span><br />*reset device guage after each attempt*<br />*demonstration*<br />*participant practice run*</h6></div>",,,,,,,,,,,,,
grip_strength_date,handgrip_strength_test,,text,Date handgrip strength test performed,,,date_dmy,,,,,y,,,,,
grip_strength_time,handgrip_strength_test,,text,Time handgrip strength test performed,,,time,,,,,y,,,,,
grip_strength_rung_right,handgrip_strength_test,,text,1. Which rung was the dynamometer set to for the participants right hand?,,,,,,,,y,,,,,
grip_strength_rung_left,handgrip_strength_test,,text,2. Which rung was the dynamometer set to for the participants left hand?,,,,,,,,y,,,,,
grip_strength_demo,handgrip_strength_test,,yesno,3. Was a demonstration performed for participant,,,,,,,,y,,,,,
grip_strength_q3_notes,handgrip_strength_test,,notes,"3a. If no to question 3, please explain",,,,,,,[grip_strength_demo] = '0',,,,,,
grip_strength_test_trial,handgrip_strength_test,,yesno,4. Did participant perform test trial,,,,,,,,,,,,,
grip_strength_q4_notes,handgrip_strength_test,,notes,"4a. If no to question , please explain",,,,,,,[grip_strength_test_trial] = '0',,,,,,
grip_strength_1,handgrip_strength_test,,text,5. Right hand handgrip strength result (kgs) [1st round],,,,,,,,y,,,,,
grip_strength_2,handgrip_strength_test,,text,6. Left hand handgrip strength result (kgs) [1st round],,,,,,,,y,,,,,
grip_strength_3,handgrip_strength_test,,text,7. Right hand handgrip strength result (kgs) [2nd round],,,,,,,,y,,,,,
grip_strength_4,handgrip_strength_test,,text,8. Left hand handgrip strength result (kgs) [2nd round],,,,,,,,y,,,,,
grip_strength_5,handgrip_strength_test,,text,9. Right hand handgrip strength result (kgs) [3rd round],,,,,,,,y,,,,,
grip_strength_6,handgrip_strength_test,,text,10. Left hand handgrip strength result (kgs) [3rd round],,,,,,,,y,,,,,
grip_strength_right_hand_average,handgrip_strength_test,"<div class=""rich-text-field-label""><p>INTERPRETATION</p> <p>                                                      WOMEN<br /><br /><span style=""text-decoration: underline;"">Age Bracket (Years) </span>            <span style=""text-decoration: underline;"">Weak (kg) </span>      <span style=""text-decoration: underline;"">Normal (kg)</span>      <span style=""text-decoration: underline;"">Strong (kg)</span><br />60-64                                        < 17.2                 17.2 - 31.0           > 31.0<br />65-69                                        < 15.4                 15.4 - 27.2           > 27.2<br />70-99                                        < 14.7                 14.7 - 24.5           > 24.5</p> <p> </p> <p>                                                      MEN</p> <p><span style=""text-decoration: underline;"">Age Bracket (Years)</span>             <span style=""text-decoration: underline;"">Weak (kg) </span>      <span style=""text-decoration: underline;"">Normal (kg) </span>     <span style=""text-decoration: underline;"">Strong (kg)</span><br />60-64                                        < 30.2                 30.2 - 48.0           > 48.0<br />65-69                                        < 28.2                 28.2 - 44.0           > 44.0<br />70-99                                        < 21.3                 21.3 - 35.1           > 35.1<br /><br /></p></div>",calc,11. Right hand handgrip strength average result ,([grip_strength_1]+[grip_strength_3]+ [grip_strength_5])/3,,,,,,,y,,,,,
grip_strength_left_hand_average,handgrip_strength_test,,calc,12. Left hand handgrip strength average result,([grip_strength_2]+[grip_strength_4]+ [grip_strength_6])/3,,,,,,,y,,,,,
ergo_bike_date,ergometer_bicycle_setting,,text,Date bike setting performed,,,date_dmy,,,,,y,,,,,
ergo_bike_time,ergometer_bicycle_setting,,text,Time bike setting performed,,,time,,,,,y,,,,,
ergo_bike,ergometer_bicycle_setting,,yesno,1. Did participant perform the ergometer cycle bike setting?,,,,,,,,y,,,,,
ergo_bike_setting,ergometer_bicycle_setting,,text,2. What was the determined ergometer bike setting for the participant?,,,,,,,,y,,,,,
vo2_test_date,exercise_capacity_test_vo2peak,,text,Date participant performed vo2 peak testing,,,date_dmy,,,,,y,,,,,
vo2_test_time,exercise_capacity_test_vo2peak,,text,Time participant performed vo2 peak testing,,,time,,,,,y,,,,,
vo2_disinfect1,exercise_capacity_test_vo2peak,VO2 PEAK TEST SETUP,yesno,"1. Was all equipment disinfected/sanitized prior to use (stationary bike, stadiometer, heart rate monitor and strap, face mask and head strap)?",,,,,,,,y,,,,,
vo2_cylinder_calibration,exercise_capacity_test_vo2peak,,yesno,2. Was ergo gas cylinder calibrated?,,,,,,,,y,,,,,
vo2_height_and_weight,exercise_capacity_test_vo2peak,,yesno,3. Did participant have height and weight taken using stadiometer?,,,,,,,,,,,,,
vo2_height,exercise_capacity_test_vo2peak,,text,4. Participant height (in cm.),,,,,,,,y,,,,,
vo2_weight,exercise_capacity_test_vo2peak,,text,5. Participant weight (in kg),,,,,,,,y,,,,,
vo2_age,exercise_capacity_test_vo2peak,,text,6. Participant age?,,,number,60,100,,,y,,,,,
vo2_predicted_hrmax,exercise_capacity_test_vo2peak,,calc,7. Paticipant age predicted hrmax (in bpm),207-(0.7*([vo2_age])),,,,,,,y,,,,,Equation: 207-(0.7*Age(yrs))
vo2_hr_sync,exercise_capacity_test_vo2peak,,yesno,8. Was heart rate monitor successfully synced with heart rate app on ipad?,,,,,,,,y,,,,,
vo2_hr_monitor,exercise_capacity_test_vo2peak,,yesno,8a. Was participant fitted with heart rate monitor?,,,,,,,[vo2_hr_sync] = '1',y,,,,,
vo2_face_mask_and_strap,exercise_capacity_test_vo2peak,,yesno,9. Was participant fitted with appropriate face mask and head strap?,,,,,,,,y,,,,,
vo2_seat_height,exercise_capacity_test_vo2peak,,text,10. What was participant seat height setting?,,,,,,,,y,,,,,
vo2_resting_hr,exercise_capacity_test_vo2peak,RESTING PHASE (2 minutes total),text,12. Hr (bpm),,,,,,,,y,,,,,Take Value When Time Remaining Is 1:45
vo2_resting_rpm,exercise_capacity_test_vo2peak,,text,13. Rpm (50 - 70),,,number,,,,,y,,,,,RPM = 50-70
vo2_resting_vo2,exercise_capacity_test_vo2peak,,text,14. Vo2 (ml/kg/min),,,,,,,,y,,,,,Take Value When Time Remaining Is 1:45
vo2_resting_watt,exercise_capacity_test_vo2peak,,text,15. Watt,,,number,,,,,y,,,,,
vo2_resting_rq,exercise_capacity_test_vo2peak,,text,16. Rq,,,,,,,,y,,,,,Take Value When Time Remaining Is 1:45
vo2_resting_rpe,exercise_capacity_test_vo2peak,,text,17. Rpe (6-20),,,,,,,,y,,,,,Take Value When Time Remaining Is 1:45
vo2_resting_complete,exercise_capacity_test_vo2peak,,yesno,18. Was this phase completed?,,,,,,,,y,,,,,
vo2_warm_up_hr,exercise_capacity_test_vo2peak,WARM-UP PHASE (5 minutes total),text,19. Hr (bpm),,,,,,,[vo2_resting_complete] = '1',y,,,,,Take Value When Time Remaining Is 6:45
vo2_warm_up_rpm,exercise_capacity_test_vo2peak,,text,20. Rpm (50-70),,,,,,,[vo2_resting_complete] = '1',y,,,,,Take Value When Time Remaining Is 6:45
vo2_warm_up_vo2,exercise_capacity_test_vo2peak,,text,21. Vo2 (ml/kg/min),,,,,,,[vo2_resting_complete] = '1',y,,,,,Take Value When Time Remaining Is 6:45
vo2_warm_up_watt,exercise_capacity_test_vo2peak,,text,22. Watt,,,number,,,,[vo2_resting_complete] = '1',y,,,,,
vo2_warm_up_rq,exercise_capacity_test_vo2peak,,text,23. Rq,,,,,,,[vo2_resting_complete] = '1',y,,,,,Take Value When Time Remaining Is 6:45
vo2_warm_up_rpe,exercise_capacity_test_vo2peak,,text,24. Rpe (6-20),,,,,,,[vo2_resting_complete] = '1',y,,,,,Take Value When Time Remaining Is 6:45
vo2_warm_up_complete,exercise_capacity_test_vo2peak,,yesno,25. Was this phase completed?,,,,,,,[vo2_resting_complete] = '1',y,,,,,
