"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
sf_pain_score,fatigue_sf36_energyfatigue_subscale,,calc,"43. Pain Score","([sf_bodily_pain] + [sf_normal_work])/2",,,,,,,y,,,,,
sf_general_health_score,fatigue_sf36_energyfatigue_subscale,,calc,"44. General Health Score","([sf_individual_health] + [sf_easily_sick] + [sf_super_healthy] + [sf_health_to_be_worse] + [sf_excellent_health])/5",,,,,,,y,,,,,
sf_comments,fatigue_sf36_energyfatigue_subscale,,notes,Comments:,,,,,,,,,,,,,
ipaq_instructions,physical_activity_international_physical_activity,,descriptive,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;"">Tell The Participant:</span><br />-Here I am going to have you complete the International Physical Activity Questionnaire which measures the times you've spent walking and doing moderate to vigorous physical activities over the past 7 days.</h6> <h6>-Carefully read and answer each question according to your own personal experiences and I want to assure you that their are no right or weong answers.</h6></div>",,,,,,,,,,,,,
ipaq_date_completed,physical_activity_international_physical_activity,,text,"Date Physical Activity International Physical Activity Questionnaire (IPAQ) Completed?",,,date_dmy,,,,,y,,,,,
ipaq_time_completed,physical_activity_international_physical_activity,,text,"Time Physical Activity International Physical Activity Questionnaire (IPAQ) Completed?",,,time,,,,,y,,,,,
ipaq_vigorous,physical_activity_international_physical_activity,"The following questions will ask you about the time you spent being
physically active in the last 7 days. Please answer each question even if you do not
consider yourself to be an active person. Please think about the activities you do at
work, as part of your house and yard work, to get from place to place, and in your spare
time for recreation, exercise or sport.

Think about all the vigorous activities that you did in the last 7 days. Vigorous
physical activities refer to activities that take hard physical effort and make you breathe
much harder than normal. Think only about those physical activities that you did for at
least 10 minutes at a time",radio,"1. During The Last 7 Days, On How Many Days Did You Do Vigorous Physical 
Activities Like Heavy Lifting, Digging, Aerobics, Or Fast Bicycling? ","1, 0 (No Vigorous Activity) | 2, 1 | 3, 2 | 4, 3 | 5, 4 | 6, 5 | 7, 6 | 8, 7",,,,,,,y,,,,,
ipaq_daily_vigorous,physical_activity_international_physical_activity,,text,"1a. How Much Time Did You Usually Spend Doing Vigorous Physical Activities On One Of Those Days? (In Hours And Minutes Per Day)",,,number,,,,"[ipaq_vigorous] = '2' or [ipaq_vigorous] = '3' or [ipaq_vigorous] = '4' or [ipaq_vigorous] = '5' or [ipaq_vigorous] = '6' or [ipaq_vigorous] = '7' or [ipaq_vigorous] = '8'",,,,,,
ipaq_moderate,physical_activity_international_physical_activity,"Think about all the moderate activities that you did in the last 7 days. Moderate
activities refer to activities that take moderate physical effort and make you breathe 
somewhat harder than normal. Think only about those physical activities that you did 
for at least 10 minutes at a time.",radio,"2. During The Last 7 Days, On How Many Days Did You Do Moderate Physical Activities Like Carrying Light Loads, Bicycling At A Regular Pace, Or Doubles Tennis?  (Not Including Walking)","1, 0 (No Moderate Activity) | 2, 1 | 3, 2 | 4, 3 | 5, 4 | 6, 5 | 7, 6 | 8, 7",,,,,,,y,,,,,
ipaq_daily_moderate,physical_activity_international_physical_activity,,text,"2a. How Much Time Did You Usually Spend Doing Moderate Physical Activities On One Of Those Days? (In Hours And Minutes Per Day)",,,number,,,,"[ipaq_moderate] = '2' or [ipaq_moderate] = '3' or [ipaq_moderate] = '4' or [ipaq_moderate] = '5' or [ipaq_moderate] = '6' or [ipaq_moderate] = '7' or [ipaq_moderate] = '8'",y,,,,,
ipaq_walked,physical_activity_international_physical_activity,"Think about the time you spent walking in the last 7 days. This includes at work and at 
home, walking to travel from place to place, and any other walking that you have done
solely for recreation, sport, exercise, or leisure.",radio,"3. During The Last 7 Days, On How Many Days Did You Walk For At Least 10 Minutes 
At A Time? (In Days Per Week)
","1, 0 | 2, 1 | 3, 2 | 4, 3 | 5, 4 | 6, 5 | 7, 6 | 8, 7",,,,,,,y,,,,,
ipaq_daily_walked,physical_activity_international_physical_activity,,text,"3a. How Much Time Did You Usually Spend Walking On One Of Those Days? (In Hours And Minutes Per Day)",,,number,,,,"[ipaq_walked] = '2' or [ipaq_walked] = '3' or [ipaq_walked] = '4' or [ipaq_walked] = '5' or [ipaq_walked] = '6' or [ipaq_walked] = '7' or [ipaq_walked] = '8'",y,,,,,
ipaq_sitting,physical_activity_international_physical_activity,"The last question is about the time you spent sitting on weekdays during the last 7 days. Include time spent at work, at home, while doing course work and during leisure time. This may include time spent sitting at a desk, visiting friends, reading, or sitting or lying down to watch television.",text,"4. During The Last 7 Days, How Much Time Did You Spend Sitting On Each Weekday?",,,number,,,,,y,,,,,
ipaq_comments,physical_activity_international_physical_activity,,notes,Comments:,,,,,,,,,,,,,
hooper_instructions,sleep_quality_and_wellbeing_hooper_index_7point_li,,descriptive,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;"">Tell The Participant:</span></h6> <h6>- Here you will complete the Sleep Quality and Well-Being Assessment also referred to as the Hooper Index Questionnaire. This questionnaire is used to monitor an individuals physical and mental well-being by asking questions pertaining to your fatigue, stress, recovery, sleep quality and overall well-being.</h6></div>",,,,,,,,,,,,,
hooper_date,sleep_quality_and_wellbeing_hooper_index_7point_li,,text,"Date Sleep Quality And Well-Being (Hooper Index 7-Point Likert Scale) Performed",,,date_dmy,,,,,y,,,,,
hooper_time,sleep_quality_and_wellbeing_hooper_index_7point_li,,text,"Time Sleep Quality And Well-Being (Hooper Index 7-Point Likert Scale) Performed",,,time,,,,,y,,,,,
hooper_fatigue,sleep_quality_and_wellbeing_hooper_index_7point_li,,radio,"1. How Fatigued Are You?","1, 1=No Fatigue | 2, 2=Minimal Fatigue | 3, 3=Better Than Normal | 4, 4=Normal | 5, 5=Worse Than Normal | 6, 6=Very Fatigued | 7, 7=Exhausted - Major Fatigue",,,,,,,y,,,,,
hooper_sleep_quality,sleep_quality_and_wellbeing_hooper_index_7point_li,,radio,"2. How Was Your Sleep Last Night?","1, 1=Outstanding | 2, 2=Very Good | 3, 3=Better Than Normal | 4, 4=Normal | 5, 5=Worse Than Normal | 6, 6=Disrupted | 7, 7=Horrible - No Sleep",,,,,,,y,,,,,
hooper_sleep_duration,sleep_quality_and_wellbeing_hooper_index_7point_li,,radio,"3. How Many Hours Did You Sleep Last Night?","1, 10+ | 2, 9-10 | 3, 8-9 | 4, 8 | 5, 7-8 | 6, 5-7 | 7, 5 or Less",,,,,,,y,,,,,
hooper_soreness,sleep_quality_and_wellbeing_hooper_index_7point_li,,radio,"4. Please Rate Your Level Of Muscle Soreness","1, 1=No Soreness | 2, 2=Very Little Soreness | 3, 3=Better Than Normal | 4, 4=Normal | 5, 5=Worse Than Normal | 6, 6=Very Sore/Tight | 7, 7=Extremely Sore/Tight",,,,,,,y,,,,,
hooper_mental,sleep_quality_and_wellbeing_hooper_index_7point_li,,radio,"5. How Are You Feeling Psychologically (Mentally)? ","1, 1=Feeling Great - Very Relaxed | 2, 2=Feeling Good - Relaxed | 3, 3=Better Than Normal | 4, 4=Normal | 5, 5=Worse Than Normal | 6, 6=Stressed | 7, 7=Very Stressed",,,,,,,y,,,,,
hooper_score,sleep_quality_and_wellbeing_hooper_index_7point_li,,calc,"6. Hooper Index Score","[hooper_fatigue]+[hooper_sleep_quality] + [hooper_sleep_duration]+[hooper_soreness]+ [hooper_mental]",,,,,,,y,,,,,"The scores for all questions are summed to calculate a total Hooper Index. A lower Hooper Index score indicates better overall well-being and readiness. Higher scores suggest the individual may be experiencing higher levels of fatigue, stress, and/or muscle soreness, potentially impacting their performance and recovery. "
hooper_comments,sleep_quality_and_wellbeing_hooper_index_7point_li,,notes,Comments:,,,,,,,,,,,,,
asa24_diet_instructions,h_diet_recall_asa24_healthy_eating_index_1100_scal,,descriptive,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;"">Tell The Participant</span></h6> <h6>-Here we will complete the 24hr diet recall. During this assessment you will provide information on your food and beverage intake over the last 24hrs so that we can assess your dietary patterns. You will be asked specific questions about what you ate and drank during breakfast, lunch and dinner even any supplements you might have taken.</h6> <h6>-You will also be asked how the meals were prepared, the ingredients in the food, the time the meal was consumed, where the meal was consumed etc. Try to be as specific and as detailed as posible and I want you to remember that there are no right or wrong answers here.</h6></div>",,,,,,,,,,,,,
asa24_diet_date,h_diet_recall_asa24_healthy_eating_index_1100_scal,,text,"Date 24h Diet Recall (ASA24: Healthy Eating Index 1-100 Scale) Completed",,,date_dmy,,,,,y,,,,,
asa24_diet_time,h_diet_recall_asa24_healthy_eating_index_1100_scal,,text,"Time 24h Diet Recall (ASA24: Healthy Eating Index 1-100 Scale) Completed?",,,time,,,,,y,,,,,
asa24_profile,h_diet_recall_asa24_healthy_eating_index_1100_scal,,yesno,"1. Was Participants 24h Diet Recall (ASA24: Healthy Eating Index 1-100 Scale) Nutrtion Profile Printed?",,,,,,,,y,,,,,
asa24_upload,h_diet_recall_asa24_healthy_eating_index_1100_scal,,file,,,,,,,,,,,,,,
asa24_comments,h_diet_recall_asa24_healthy_eating_index_1100_scal,,notes,,,,,,,,,,,,,,
tlfb_alc_instructions,alcohol_timeline_follow_back_interview_tlfb,,descriptive,"<div class=""rich-text-field-label""><p>Introduction</p> <p><em>Tell the participant:</em></p> <ul> <li><span style=""font-weight: normal;"">What want to do today is get an idea of what your drinking was like recently, and </span><span style=""font-weight: normal;"">to do this, we use a calendar like this one (show sample calendar).</span></li> <li><span style=""font-weight: normal;"">Now, what I would like to do is to ask you about your drinking over the past </span><span style=""font-weight: normal;"">30 days. During this time period we want to get an idea of how much alcohol </span><span style=""font-weight: normal;"">you consumed on each day, and what type of alcohol it was. We'll assist you by using a calendar and asking questions to help you remember.</span></li> <li><span style=""font-weight: normal;"">We're asking for your <span style=""background-color: #fbeeb8;"">best estimate</span>. We want you to be as accurate as possible, but we recognize that it is not always easy to recall events with 100% accuracy, whether it is drinking or anything else.  </span></li> <li><span style=""font-weight: normal;"">If you are not sure whether you drank 7 or 11 drinks on a given day or whether you drank on a Thursday or a Friday, GIVE IT YOUR BEST GUESS! What is important is that 7 or 11 drinks are very different from 1 or 2 drinks or from 25 drinks. The goal is to get a sense of how frequently you drank, how much you drank, and your patterns of drinking.</span></li> <li><span style=""font-weight: normal;"">We'll need to know the<span style=""background-color: #fbeeb8;""> quantity, type, and brand (if you know) of alcohol you consumed. You can also tell us which restaurant you ordered from if applicable</span>. For example, if you had 2 glasses of wine, we'll ask how much wine (5 oz? 9 oz?) and as much detail as you remember about the type of wine. If you also had a beer, we'll need to know what kind (Dos Equis? Lubbock Light from Two Docs?) and how much (12 oz standard can? 6 pack of 12-oz cans? A pint - 16 oz?)</span></li> <li><span style=""font-weight: normal;"">Do you have any questions about this before we begin?</span></li> </ul> <p><em>After answering participant's question, begin filling out the calendar. Use the following questions as a guide:</em></p> <ul> <li><span style=""font-weight: normal;"">Let's start with yesterday </span>(insert date)<span style=""font-weight: normal;""> and go back 30 days-those dates are </span>(insert date) <span style=""font-weight: normal;"">through </span>(insert date)<span style=""font-weight: normal;"">.</span></li> <li><span style=""font-weight: normal;"">Do you have any special holidays or dates you want to mark on the calendar to help you better recall your drinking during this time frame? You can consult your phone or calendar if needed. </span><em>(participant replies and the interviewer enters the days in the calendar as appropriate)</em></li> <li><em>(begin with the first special date or holiday) </em><span style=""font-weight: normal;"">What drinks did you have on that day, and how much? </span><em>(participant replies, and interviewer writes in, asking follow-up questions as needed) (continue asking the following questions, with follow-ups as needed, and filling in info)</em></li> <li><span style=""font-weight: normal;"">What was the greatest amount of drinks you consumed on any given day during this period, and what date was it?</span></li> <li><span style=""font-weight: normal;"">What was the smallest number of standard drinks you consumed on any given day during this period, and what date was it?</span></li> <li><span style=""font-weight: normal;"">Some people will have patterns to their drinking that can help them recall their use. For example, some people may drink 2 12-oz Budweiser beers every night. Do you have any notable patterns to your drinking?</span></li> <li><span style=""font-weight: normal;"">When did you last drink in this time frame?</span> <span style=""font-weight: normal;"">What drinks did you have on that day, and how much? </span></li> <li><span style=""font-weight: normal;"">During this period, did you have any extended periods of abstinence from alcohol when you did not drink any alcohol at all, not even a drop? </span></li> <li><span style=""font-weight: normal;"">Are there any blocks of time during this period when you have used alcohol in a very patterned manner for a period of time?</span></li> <li><em>Continue working with the participant to fill in EVERY DAY - even if it is ""0"".</em></li> </ul></div>",,,,,,,,,,,,,
tlfb_date_completed,alcohol_timeline_follow_back_interview_tlfb,,text,"Date TLFB Was Completed",,,date_dmy,,,,,y,,,,,
tlfb_reference_chart,alcohol_timeline_follow_back_interview_tlfb,,yesno,"2. Was The Participant Shown The Standard Drink Conversion Reference Chart?",,,,,,,,y,,,,,
tlfb_reference_calendar,alcohol_timeline_follow_back_interview_tlfb,,yesno,"3. Was The Sample Timeline Follow Back Calendar For Reference Shown To Participant?",,,,,,,,y,,,,,
tlfb_completion,alcohol_timeline_follow_back_interview_tlfb,,yesno,"4. Was Timeline Follow Back Interview Completed With CRC/Interviewer Filling Out The Calendar?",,,,,,,,y,,,,,
tlfb_start_date,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB start date (31 days ago; MM-DD-YYYY)",,,date_mdy,,,,,y,,,,,
tlfb_end_date,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB end date (yesterday; MM-DD-YYYY)",,,date_mdy,,,,,y,,,,,
tlfb_day1,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 1 alcohol",,,,,,,,,,,,,
tlfb_day2,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 2 alcohol",,,,,,,,,,,,,
tlfb_day3,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 3 alcohol",,,,,,,,,,,,,
tlfb_day4,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 4 alcohol",,,,,,,,,,,,,
tlfb_day5,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 5 alcohol",,,,,,,,,,,,,
tlfb_day6,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 6 alcohol",,,,,,,,,,,,,
tlfb_day7,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 7 alcohol",,,,,,,,,,,,,
tlfb_day8,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 8 alcohol",,,,,,,,,,,,,
tlfb_day9,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 9 alcohol",,,,,,,,,,,,,
tlfb_day10,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 10 alcohol",,,,,,,,,,,,,
tlfb_day11,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 11 alcohol",,,,,,,,,,,,,
tlfb_day12,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 12 alcohol",,,,,,,,,,,,,
tlfb_day13,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 13 alcohol",,,,,,,,,,,,,
tlfb_day14,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 14 alcohol",,,,,,,,,,,,,
tlfb_day15,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 15 alcohol",,,,,,,,,,,,,
tlfb_day16,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 16 alcohol",,,,,,,,,,,,,
tlfb_day17,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 17 alcohol",,,,,,,,,,,,,
tlfb_day18,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 18 alcohol",,,,,,,,,,,,,
tlfb_day19,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 19 alcohol",,,,,,,,,,,,,
tlfb_day20,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 20 alcohol",,,,,,,,,,,,,
tlfb_day21,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 21 alcohol",,,,,,,,,,,,,
tlfb_day22,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 22 alcohol",,,,,,,,,,,,,
tlfb_day23,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 23 alcohol",,,,,,,,,,,,,
tlfb_day24,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 24 alcohol",,,,,,,,,,,,,
tlfb_day25,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 25 alcohol",,,,,,,,,,,,,
tlfb_day26,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 26 alcohol",,,,,,,,,,,,,
tlfb_day27,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 27 alcohol",,,,,,,,,,,,,
tlfb_day28,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 28 alcohol",,,,,,,,,,,,,
tlfb_day29,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 29 alcohol",,,,,,,,,,,,,
tlfb_day30,alcohol_timeline_follow_back_interview_tlfb,,text,"TLFB day 30 alcohol",,,,,,,,,,,,,
tlfb_completed,alcohol_timeline_follow_back_interview_tlfb,,yesno,"Was Timeline Follow Back Interview Completed With CRC/Interviewer Filling Out The Calendar?",,,,,,,,y,,,,,
tlfb_calendar_upload,alcohol_timeline_follow_back_interview_tlfb,,file,"TLFB Calendar Upload",,,,,,,,y,,,,,
tug_instructions,meter_timed_up_and_go_test,,descriptive,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;"">Tell The Participant:</span><br />The 1st Physical Function test we will perform is the 3-meter timed up and go. This test allows us to evaluate your mobility, balance, walking ability and fall risk while walking 3 meters. What you will do is start by sitting in this chair with your feet behind the start line and when I give you the signal to go you will rise up from the chair, and begin walking at your normal pace to the other end, around the cone and back to the chair.<br /><br />I will be timing you to see how long it takes you to complete the test. The timer will begin once your back lifts from the back of the chair and the timer will end when you return to the chair and your back touches the back of the chair. You will perform this test 3 times and you will have a 60 second rest between each interval.<br /><br />I will give you a practice attempt to help you before we actually begin the test. One thing to keep in mind is whichever way you choose to turn around the cone whether clockwise or counter-clockwise, you must turn around the cone the same way each of the 3 times.</h6> <h6><span style=""text-decoration: underline;"">Reminders</span></h6> <h6>*Demonstration*</h6> <h6>*Participant Practice Run*</h6></div>",,,,,,,,,,,,,
tug_date,meter_timed_up_and_go_test,,text,"Date 3-Meter Timed Up And Go Test Performed",,,date_dmy,,,,,y,,,,,
tug_time,meter_timed_up_and_go_test,,text,"Time 3-Meter Timed Up And Go Test Performed",,,time,,,,,y,,,,,
tug_setup,meter_timed_up_and_go_test,,text,"1. Was Timed Up And Go Appropriately Set Up (Floor Spaces Properly Measured and Marked With Tape, Armed Chair Provided and Placed Against Wall etc.)",,,,,,,,y,,,,,
tug_demonstration,meter_timed_up_and_go_test,,yesno,"2. Was A Demonstration Performed For The Participant?",,,,,,,,y,,,,,
tug_test_run,meter_timed_up_and_go_test,,yesno,"3. Did Participant Elect To Do A Test Run?",,,,,,,,y,,,,,
tug_cone_direction,meter_timed_up_and_go_test,,radio,"4. In Which Direction Did Participant Choose To Walk Around Cone?","1, Left | 2, Right",,,,,,,y,,,,,"Participant Will Need To Walk Around Same Direction Of Cone Each Subsequent Time"
tug_attempt_1,meter_timed_up_and_go_test,,text,"5. Time of 1st TUG Attempt (In Seconds)",,,,,,,,y,,,,,
tug_rest_1,meter_timed_up_and_go_test,,yesno,"6. Did Participant Rest For 30 Seconds After 1st Rep?",,,,,,,,y,,,,,
tug_attempt_2,meter_timed_up_and_go_test,,text,"7. Time of 2nd TUG Attempt (In Seconds)",,,,,,,,y,,,,,
tug_rest_2,meter_timed_up_and_go_test,,yesno,"8. Did Participant Rest For 30 Seconds After 2nd Rep?",,,,,,,,y,,,,,
tug_attempt_3,meter_timed_up_and_go_test,,text,"9. Time of 3rd TUG Attempt (In Seconds)",,,,,,,,y,,,,,
tug_rest_3,meter_timed_up_and_go_test,,yesno,"10. Did Participant Rest For 30 Seconds After 3rd Rep?",,,,,,,,y,,,,,
average_tug_time,meter_timed_up_and_go_test,"<div class=""rich-text-field-label""><p>INTERPRETATION <br /><br /><span style=""text-decoration: underline;""><</span> 10 Seconds = Normal <br /><span style=""text-decoration: underline;""><</span> 20 Seconds = Good Mobility, Can Go Out Alone, Mobile Without A<br />Gait Aid.<br /><span style=""text-decoration: underline;""><</span> 30 seconds = Problems, Cannot Go Outside Alone, Requires A Gait <br />Aid.</p> <p><br />A Score Of More Than Or Equal To Fourteen Seconds Has Been Shown To Indicate High Risk <br />Of Falls.</p></div>",calc,"11. Average Time Of 3-Meter Timed Up And Go (In Seconds)","([tug_attempt_1] + [tug_attempt_2]+[tug_attempt_3])/3",,,,,,,y,,,,,
sts_instructions,second_sittostand_test,,descriptive,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;"">Tell The Participant:</span><br />The second Physical Function test we will perform is a <span style=""font-weight: normal;"">30 second sit-to-stand. This test measures your leg strength and endurance by evaluating how many times you can stand up from a chair and return to the seated position within 30 seconds.</span></h6> <h6>I'll be watching to see your form, your comfortability and the smoothness and ease in whch you perform this test</h6> <p> </p> <h6><span style=""text-decoration: underline;"">Reminders:</span></h6> <h6><span style=""font-weight: normal;"">*Demonstration*</span></h6> <h6><span style=""font-weight: normal;"">*Participant Practice Run*</span></h6></div>",,,,,,,,,,,,,
sts_date_perfomed,second_sittostand_test,,text,"Date 30 Second Sit-To-Stand Test Performed",,,date_dmy,,,,,y,,,,,
sts_time_perfomed,second_sittostand_test,,text,"Time 30 Second Sit-To-Stand Test Performed",,,time,,,,,y,,,,,
sts_chair_position,second_sittostand_test,,yesno,"1. Was Chair Positioned With The Back Against The Wall?",,,,,,,,y,,,,,
sts_demonstration,second_sittostand_test,,yesno,"2. Was A Demonstration Performed For The Participant?",,,,,,,,y,,,,,
sts_test_trial,second_sittostand_test,,yesno,"3. Did Participant Elect To Do A Test Trial?",,,,,,,,y,,,,,
sts_reps,second_sittostand_test,"<div class=""rich-text-field-label""><p>INTERPRETATION </p> <p>                                    WOMEN</p> <p>Age group (years)                    Below Average; Average; Above Average</p> <p>60 - 64:                                          < 12; 12 - 17; >17<br />65 - 69:                                          < 11; 11 - 16; >16<br />70 - 74:                                          < 10; 10 - 15; >15<br />75 - 79:                                          < 10; 10 - 15; >15<br />80 - 84:                                          < 9; 9 - 14; >14<br />85 - 89:                                          < 8; 8 - 13; >13<br />90 - 94:                                          < 4; 4 - 11; >11</p> <p> </p> <p>                                   MEN</p> <p>Age group (years)                    Below Average; Average; Above Average</p> <p>60 - 64:                                          < 14; 14 - 19; >19<br />65 - 69:                                          < 12; 12 - 18; >18<br />70 - 74:                                          < 12; 12 - 17; >17<br />75 - 79:                                          < 11; 11 - 17; >17<br />80 - 84:                                          < 10; 10 - 15; >15<br />85 - 89:                                          < 8; 8 - 14; >14<br />90 - 94:                                          < 7; 7 - 12; >12</p> <p> </p></div>",text,"4. Number Of Reps Participant Performed In 30 Second Sit-To-Stand Test ",,,,,,,,y,,,,,
grip_strength_instructions,handgrip_strength_test,,descriptive,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;""><span style=""color: #000000; font-weight: normal; text-decoration: underline;"">Tell The Participant:</span></span><br />The last Physical Function test you will perform is a handgrip strength test to evaluate your muscle strength. You will squeeze a dynamometer with each hand and this will give us an indicator of your overall muscle function and muscle health. So what I will have you do is first remove any rings, bracelets or watches from your hands and wrists.<br /><br /><span style=""text-decoration: underline;"">Participant Instructions:</span> <br />Have the prticipant sit upright in this chair with their elbow flexed at 90 degrees and non-dominant arm resting on the armrest of the chair or held in place against the side of their body. Your wrist should remain in a neutral position (not bent up or down). Ensure the handgrip dynamometer is held with the arm relaxed, not supported by external surfaces, and the participant's hand comfortably fits around the dynamometer handle<br /><br /><span style=""text-decoration: underline;"">Tell The Participant:</span><br />When I hand you the dynamometer, using your dominant hand, hold the dynamometer with your hand relaxed and when I say go, squeeze the device with as much forces as you can but withought straining for 3-5 seconds. <br /><br /><span style=""text-decoration: underline;"">Reminders:</span><br />*Reset device guage after each attempt*<br />*Demonstration*<br />*Participant Practice Run*</h6></div>",,,,,,,,,,,,,
grip_strength_date,handgrip_strength_test,,text,"Date Handgrip Strength Test Performed",,,date_dmy,,,,,y,,,,,
grip_strength_time,handgrip_strength_test,,text,"Time Handgrip Strength Test Performed",,,time,,,,,y,,,,,
grip_strength_rung_right,handgrip_strength_test,,text,"1. Which Rung Was The Dynamometer Set To For The Participants Right Hand?",,,,,,,,y,,,,,
grip_strength_rung_left,handgrip_strength_test,,text,"2. Which Rung Was The Dynamometer Set To For The Participants Left Hand?",,,,,,,,y,,,,,
grip_strength_demo,handgrip_strength_test,,yesno,"3. Was A Demonstration Performed For Participant",,,,,,,,y,,,,,
grip_strength_q3_notes,handgrip_strength_test,,notes,"3a. If No To Question 3, Please Explain",,,,,,,"[grip_strength_demo] = '0'",,,,,,
grip_strength_test_trial,handgrip_strength_test,,yesno,"4. Did Participant Perform Test Trial",,,,,,,,,,,,,
grip_strength_q4_notes,handgrip_strength_test,,notes,"4a. If No To Question , Please Explain",,,,,,,"[grip_strength_test_trial] = '0'",,,,,,
grip_strength_1,handgrip_strength_test,,text,"5. Right Hand Handgrip Strength Result (kgs) [1st Round]",,,,,,,,y,,,,,
grip_strength_2,handgrip_strength_test,,text,"6. Left Hand Handgrip Strength Result (kgs) [1st Round]",,,,,,,,y,,,,,
grip_strength_3,handgrip_strength_test,,text,"7. Right Hand Handgrip Strength Result (kgs) [2nd Round]",,,,,,,,y,,,,,
grip_strength_4,handgrip_strength_test,,text,"8. Left Hand Handgrip Strength Result (kgs) [2nd Round]",,,,,,,,y,,,,,
grip_strength_5,handgrip_strength_test,,text,"9. Right Hand Handgrip Strength Result (kgs) [3rd Round]",,,,,,,,y,,,,,
grip_strength_6,handgrip_strength_test,,text,"10. Left Hand Handgrip Strength Result (kgs) [3rd Round]",,,,,,,,y,,,,,
grip_strength_right_hand_average,handgrip_strength_test,"<div class=""rich-text-field-label""><p>INTERPRETATION</p> <p>                                                      WOMEN<br /><br /><span style=""text-decoration: underline;"">Age Bracket (Years) </span>            <span style=""text-decoration: underline;"">Weak (kg) </span>      <span style=""text-decoration: underline;"">Normal (kg)</span>      <span style=""text-decoration: underline;"">Strong (kg)</span><br />60-64                                        < 17.2                 17.2 - 31.0           > 31.0<br />65-69                                        < 15.4                 15.4 - 27.2           > 27.2<br />70-99                                        < 14.7                 14.7 - 24.5           > 24.5</p> <p> </p> <p>                                                      MEN</p> <p><span style=""text-decoration: underline;"">Age Bracket (Years)</span>             <span style=""text-decoration: underline;"">Weak (kg) </span>      <span style=""text-decoration: underline;"">Normal (kg) </span>     <span style=""text-decoration: underline;"">Strong (kg)</span><br />60-64                                        < 30.2                 30.2 - 48.0           > 48.0<br />65-69                                        < 28.2                 28.2 - 44.0           > 44.0<br />70-99                                        < 21.3                 21.3 - 35.1           > 35.1<br /><br /></p></div>",calc,"11. Right Hand Handgrip Strength Average Result ","([grip_strength_1]+[grip_strength_3]+ [grip_strength_5])/3",,,,,,,y,,,,,
grip_strength_left_hand_average,handgrip_strength_test,,calc,"12. Left Hand Handgrip Strength Average Result","([grip_strength_2]+[grip_strength_4]+ [grip_strength_6])/3",,,,,,,y,,,,,
ergo_bike_date,ergometer_bicycle_setting,,text,"Date Bike Setting Performed",,,date_dmy,,,,,y,,,,,
ergo_bike_time,ergometer_bicycle_setting,,text,"Time Bike Setting Performed",,,time,,,,,y,,,,,
ergo_bike,ergometer_bicycle_setting,,yesno,"1. Did Participant Perform The Ergometer Cycle Bike Setting?",,,,,,,,y,,,,,
ergo_bike_setting,ergometer_bicycle_setting,,text,"2. What Was The Determined Ergometer Bike Setting For The Participant?",,,,,,,,y,,,,,
